"id","cat","1","pa","name","fg_key","Season","min","mean","prop","raw_rapm","rapm"
405395,"batter",-1.64661887303225e-38,324,"Albert Pujols",1177,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.700865606175625,102.585547841018,101.812121554891
408234,"batter",6.46884789950283e-38,460,"Miguel Cabrera",1744,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.743358662845408,129.738634285606,122.106471417397
425772,"batter",-4.13946405771359e-38,136,"Jeff Mathis",3448,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.595617299922901,94.2448765414078,96.5721489048703
425783,"batter",2.41477075171832e-38,252,"Shin-Soo Choo",3174,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.670395885691298,116.17432426719,110.843200442561
425784,"batter",-1.07417079163559e-37,8,"Rene Rivera",3648,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.252114464624618,72.1547980226138,92.9798218111069
425877,"batter",1.74991962211958e-39,340,"Yadier Molina",7007,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.70670969789449,108.680373667325,106.134504252047
429664,"batter",4.3402769959273e-38,362,"Robinson Cano",3269,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.714311365071247,122.616767932358,116.155414375262
429665,"batter",-3.7442301139475e-38,366,"Edwin Encarnacion",2151,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.715643701877642,95.5672676917523,96.827743041493
435062,"batter",1.62264146437432e-38,196,"Howie Kendrick",4229,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.639926165206971,113.523983181779,108.654350695839
435522,"batter",-7.6328561915369e-38,82,"Neil Walker",7539,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.534276939989151,82.5565311568186,90.6803568436689
435559,"batter",-7.93873155369045e-39,258,"Kurt Suzuki",8259,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.67324875682906,105.438702050869,103.661599394511
443558,"batter",6.32077553385434e-38,436,"Nelson Cruz",2434,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.736862032257034,129.243207237822,121.548209114975
444482,"batter",-2.56751514911793e-38,436,"David Peralta",2136,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.736862032257034,99.5043724888282,99.6347909048754
444489,"batter",5.58474460402573e-38,90,"Manny Pina",2829,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.545563355934275,126.780562509713,114.610493556607
445055,"batter",-4.38910374801896e-38,114,"Jon Jay",5227,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.574223469253347,93.4096210618583,96.2156497424461
446308,"batter",6.6977726876414e-39,82,"Matt Wieters",4298,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.534276939989151,110.335848155348,105.522205324632
446334,"batter",4.25949697319125e-38,418,"Evan Longoria",9368,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.73175039529295,122.346490571631,116.352053309201
446481,"batter",-2.01505338373653e-37,26,"Sean Rodriguez",6589,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.395016281013144,40.674333529819,76.565395862323
448801,"batter",-1.21291633232241e-37,112,"Chris Davis",9272,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.572077547228103,67.5125885654572,81.4146813507365
451594,"batter",-4.50409717758067e-38,230,"Dexter Fowler",4062,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.659320507970536,93.0248709765008,95.4011543890665
452095,"batter",-3.42946585091866e-38,160,"Tyler Flowers",9134,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.615321327220825,96.620419837309,97.9204722488438
452254,"batter",-1.84469061097432e-38,112,"Hunter Pence",8252,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.572077547228103,101.92283068952,101.100008264596
452678,"batter",7.98248130032133e-40,426,"Asdrubal Cabrera",4962,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.734048879851579,108.361959224684,106.138086802244
453568,"batter",5.45872532104018e-39,488,"Charlie Blackmon",7859,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.750522687520917,109.921282225904,107.446147399839
453943,"batter",-3.00910596025953e-38,344,"Todd Frazier",785,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.708127742472335,98.0268784882806,98.6027779182826
455117,"batter",-9.7081062866393e-39,344,"Martin Maldonado",6887,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.708127742472335,104.846696853593,103.432080501382
455139,"batter",-8.86620835993594e-38,166,"Robinson Chirinos",3142,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.619784705939825,78.4299271075609,86.6311987152591
455976,"batter",-1.28938242923021e-38,300,"Nick Markakis",5930,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.691534739549139,103.780805281113,102.614558195361
456124,"batter",-2.71527133901689e-38,62,"Erik Kratz",4403,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.500379671687687,99.0100033158033,99.5046257841897
456488,"batter",-2.13982710600467e-37,4,"Eduardo Nunez",6848,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.168076309749745,36.4995993318728,89.3270869880709
456715,"batter",8.63521199566752e-38,40,"Lorenzo Cain",9077,"2020",-3.23072071838699e-37,2.98878243145456e-37,0.44724501747108,136.986950768484,116.542229442652
