"id","cat","1","pa","name","fg_key"
"519222","batter",-9.01302405577992e-38,272,"Austin Romine","5491"
"519299","batter",-2.81496840349748e-38,264,"Eric Sogard","7927"
"519303","batter",-7.18481747820154e-38,14,"Elliot Soto",NA
"519306","batter",-1.11844437028595e-37,62,"Steven Souza","5667"
"519317","batter",1.0461941227446e-37,206,"Giancarlo Stanton","4949"
"519346","batter",-1.66047423061621e-38,278,"Eric Thames","3711"
"519390","batter",-6.53576705549567e-38,162,"Stephen Vogt","5000"
"520471","batter",-2.57070641621671e-38,326,"Freddy Galvis","6609"
"521692","batter",8.5689912758808e-38,312,"Salvador Perez","7304"
"523253","batter",-2.19897892787805e-38,76,"Logan Forsythe","7185"
"527038","batter",-5.08244184264879e-39,424,"Wilmer Flores","5827"
"527049","batter",-2.45405257161849e-38,22,"Cesar Puello","7216"
"541645","batter",-1.05214683247249e-38,428,"Avisail Garcia","5760"
"541650","batter",7.17201903481586e-38,12,"Hernan Perez","5751"
"542255","batter",-7.19225067564235e-38,262,"Ender Inciarte","4922"
"542303","batter",1.05146668774382e-37,548,"Marcell Ozuna","10324"
"542340","batter",-7.02136610098374e-38,416,"Jonathan Villar","10071"
"542454","batter",-4.10788783101293e-38,126,"Danny Santana","10322"
"542583","batter",3.90331126052937e-38,450,"Jesus Aguilar","11342"
"542932","batter",-6.18012324984571e-39,314,"Jon Berti","12037"
"542963","batter",-1.5337712464954e-37,6,"Rob Brantly","10655"
"543063","batter",-1.00171092132151e-38,382,"Brandon Crawford","5343"
"543068","batter",4.18832489637e-38,104,"C. J. Cron","12546"
"543105","batter",3.24436448350475e-38,338,"Alex Dickerson","12649"
"543228","batter",1.11359164247292e-38,240,"Yan Gomes","9627"
"543257","batter",-6.80312901518154e-39,396,"Robbie Grossman","5254"
"543281","batter",3.95010014579962e-38,182,"Josh Harrison","8202"
"543305","batter",4.6002687258984e-38,442,"Aaron Hicks","5297"
"543309","batter",-2.87767296986862e-38,108,"Kyle Higashioka","5517"
"543333","batter",4.16301173980611e-38,340,"Eric Hosmer","3516"
"543376","batter",4.77583423995502e-38,18,"Caleb Joseph","7087"
"543401","batter",-4.20575100525385e-38,280,"Jason Kipnis","9776"
"543432","batter",-2.55507907133849e-38,22,"Ryan Lavarnway","8879"
"543510","batter",2.24177159163993e-38,236,"James McCann","12859"
"543543","batter",4.71177908634269e-38,346,"Brad Miller","12775"
"543592","batter",3.57763792687019e-38,394,"Austin Nola","15941"
"543685","batter",7.37310269504566e-38,460,"Anthony Rendon","12861"
"543760","batter",-3.48744850638404e-38,498,"Marcus Semien","12533"
"543768","batter",-1.42464139516488e-39,372,"Travis Shaw","11982"
"543807","batter",7.8358573349558e-38,462,"George Springer","12856"
"543829","batter",-7.49441432160856e-38,164,"Dee Strange-Gordon","8203"
"543877","batter",-3.21088082810461e-38,378,"Christian Vazquez","9774"
"543939","batter",-3.20598805305227e-38,446,"Kolten Wong","12532"
"544369","batter",-1.67096426748128e-38,472,"Didi Gregorius","6012"
"544725","batter",-2.90257120241975e-38,138,"Leury Garcia","5913"
"545121","batter",-9.49911086572582e-38,108,"Ildemaro Vargas","13324"
"545341","batter",1.11753219872411e-38,476,"Randal Grichuk","10243"
"545350","batter",-7.25689543173239e-38,68,"Jake Marisnick","11339"
"545358","batter",6.83710027472292e-38,210,"Max Stassi","10059"
"545361","batter",9.80444543506524e-38,474,"Mike Trout","10155"
"546990","batter",-1.10679976744549e-37,58,"Anthony Alford","14329"
"546991","batter",-1.1254741988347e-37,68,"Albert Almora","14109"
"547004","batter",-4.1123517166291e-38,406,"Rio Ruiz","14103"
"547170","batter",-1.19157411242232e-37,44,"Nick Delmonico","13157"
"547172","batter",-2.14986962329828e-38,218,"Tony Wolters","11470"
"547179","batter",3.84009069236187e-37,2,"Michael Lorenzen","14843"
"547180","batter",1.30958355024766e-37,472,"Bryce Harper","11579"
"547379","batter",-4.53505579034044e-38,234,"Roberto Perez","2900"
"547989","batter",8.84332540390773e-38,552,"José Abreu","15676"
"553869","batter",-7.50876788603515e-39,146,"Elias Diaz","11680"
"553882","batter",-4.87850731738709e-38,254,"Omar Narvaez","13338"
"553902","batter",-8.13170559512272e-38,34,"Willians Astudillo","15608"
"553993","batter",2.64877827395149e-38,480,"Eugenio Suarez","12552"
"570256","batter",-1.93552459010205e-38,348,"Gregory Polanco","12907"
"570267","batter",-1.2488749170422e-38,168,"Domingo Santana","10348"
"570481","batter",-3.29638754717804e-38,386,"Erik Gonzalez","13369"
"570482","batter",6.131084794176e-38,368,"Gio Urshela","10681"
"570560","batter",7.2818656854566e-38,42,"Carlos Sanchez","11602"
"570731","batter",-2.57139334140918e-38,354,"Jonathan Schoop","11265"
"571431","batter",-5.99910422429795e-38,102,"Matt Adams","9393"
"571448","batter",-2.92900121646982e-38,396,"Nolan Arenado","9777"
"571466","batter",-1.07271420370124e-38,230,"Tucker Barnhart","10200"
"571602","batter",1.28845827700707e-38,96,"Matt Davidson","7226"
"571657","batter",1.04122325900398e-38,150,"Kyle Farmer","14813"
"571679","batter",-3.23072071838422e-37,2,"David Freitas","10619"
"571718","batter",-2.55558571584452e-38,328,"Brian Goodwin","12858"
"571740","batter",-9.56557038898058e-38,74,"Billy Hamilton","10199"
"571771","batter",-3.07990508130213e-38,296,"Enrique Hernandez","10472"
"571788","batter",-6.15861444149589e-38,214,"Brock Holt","9345"
"571875","batter",1.68770111223564e-38,208,"Jake Lamb","13329"
"571970","batter",3.36527119546324e-38,510,"Max Muncy","13301"
"571974","batter",-6.41474568086559e-38,128,"J. R. Murphy","10346"
"571976","batter",8.02376919410592e-38,464,"Wil Myers","10047"
"571980","batter",-1.18738332287768e-38,298,"Tyler Naquin","13359"
"572008","batter",-7.41714774576468e-38,88,"Chris Owings","10030"
"572033","batter",-8.13941990173538e-38,36,"Josh Phegley","9308"
"572039","batter",-3.06928437304582e-38,348,"Stephen Piscotty","13367"
"572041","batter",1.6205260909346e-38,432,"AJ Pollock","9256"
"572073","batter",-1.64327645039756e-37,12,"Joey Rickard","13277"
"572122","batter",4.77381438565722e-38,490,"Kyle Seager","9785"
"572180","batter",5.72391044426426e-38,8,"Andrew Susac","13132"
"572191","batter",-4.81089010914924e-39,198,"Michael Taylor","11489"
"572228","batter",7.37595147428067e-38,486,"Luke Voit","14811"
"572233","batter",1.95767813128378e-38,486,"Christian Walker","13419"
"572287","batter",-3.78144978269409e-38,182,"Mike Zunino","13265"
"572365","batter",2.18554331782413e-39,20,"Ryan Goins","9807"
"572761","batter",1.28535518799733e-38,364,"Matt Carpenter","8090"
"572816","batter",-1.26037256240743e-38,436,"Corey Dickerson","10762"
"572821","batter",-5.90660986181821e-38,32,"Brian Dozier","9810"
"572863","batter",-4.81329149721227e-38,92,"Dustin Garneau","9433"
"573131","batter",3.20608140010508e-38,200,"Darin Ruf","9929"
"573262","batter",4.42750207783563e-38,446,"Mike Yastrzemski","14854"
"575929","batter",3.40022543234245e-38,464,"Willson Contreras","11609"
"576397","batter",3.86292314204142e-38,282,"Jedd Gyorko","10816"
"578428","batter",6.28912807607767e-38,302,"José Iglesias","10231"
"588751","batter",-8.24834116503076e-38,126,"Adeiny Hechavarria","10459"
"591712","batter",1.6802694835141e-39,8,"Oscar Hernandez","13490"
"591720","batter",-2.61003035073344e-38,14,"Ronald Torreyes","11400"
"591741","batter",8.49014798582743e-39,164,"Jose Osuna","12937"
"592178","batter",-4.83923791750882e-38,312,"Kris Bryant","15429"
"592192","batter",3.48338772827731e-38,508,"Mark Canha","11445"
"592200","batter",-1.37724168973627e-38,190,"Curt Casali","12510"
"592206","batter",4.50620930466418e-38,502,"Nick Castellanos","11737"
"592261","batter",-6.83273603404928e-38,256,"Delino DeShields","11379"
"592273","batter",-4.00412166795008e-38,98,"Brandon Drury","11615"
"592325","batter",6.59319187136532e-39,256,"Ben Gamel","12160"
"592348","batter",-6.09349338944996e-38,358,"Niko Goodrum","12092"
"592387","batter",-1.50261194825279e-37,20,"Ryon Healy","15447"
"592407","batter",-9.60556165216226e-38,66,"Bryan Holaday","11287"
"592444","batter",-1.10658279797496e-38,218,"JaCoby Jones","14818"
"592450","batter",4.6545824646043e-38,250,"Aaron Judge","15640"
"592518","batter",5.85376288846461e-38,530,"Manny Machado","11493"
"592530","batter",3.72865854269497e-39,230,"Jose Marmolejos",NA
"592567","batter",3.6115039049161e-38,400,"Colin Moran","16909"
"592622","batter",-1.28408231726046e-37,40,"Mark Payton",NA
"592626","batter",1.55009338050834e-38,278,"Joc Pederson","11899"
"592660","batter",-4.51690349147639e-38,82,"Rangel Ravelo","10839"
"592663","batter",2.68623620373254e-38,390,"J. T. Realmuto","11739"
"592669","batter",-1.69585590163355e-38,288,"Hunter Renfroe","15464"
"592680","batter",-1.24288595944055e-37,10,"Yadiel Rivera","11863"
"592696","batter",-1.06407418066218e-38,472,"Eddie Rosario","12155"
"592743","batter",-5.89767651651566e-38,254,"Andrelton Simmons","10847"
"592863","batter",-1.54264197554181e-37,38,"Mason Williams","11859"
"592885","batter",4.38911290082623e-38,508,"Christian Yelich","11477"
"593160","batter",6.3533854479809e-39,530,"Whit Merrifield","11281"
"593428","batter",1.29739568635455e-38,448,"Xander Bogaerts","12161"
"593528","batter",-7.31006693385699e-38,190,"Jorge Bonifacio","12174"
"593643","batter",-5.82301580776065e-38,462,"Hanser Alberto","11902"
"593871","batter",-2.31602269072565e-38,468,"Jorge Polanco","13152"
"593934","batter",3.36307545579636e-39,424,"Miguel Sano","12164"
"593993","batter",3.08074770818836e-38,12,"Jose Briceno","13151"
"594694","batter",-3.28964687590752e-38,36,"Wilmer Difo","14320"
"594777","batter",5.51571060196274e-38,458,"Kole Calhoun","11200"
"594807","batter",1.471983100712e-38,436,"Adam Duvall","10950"
"594809","batter",-2.68711837274828e-38,350,"Adam Eaton","11205"
"594824","batter",-8.85178486507487e-38,142,"Greg Garcia","10951"
"594838","batter",-3.17254491684228e-38,202,"Philip Gosselin","10953"
"594988","batter",-2.59434769142005e-37,2,"Scott Schebler","12225"
"595281","batter",-1.39798244948628e-38,330,"Kevin Kiermaier","11038"
"595284","batter",4.16224745316444e-38,178,"Andrew Knapp","14942"
"595375","batter",-8.27914793197184e-38,138,"JT Riddle","17642"
"595453","batter",-6.20892298565142e-38,110,"Chad Wallach","17161"
"595751","batter",-4.74198158896044e-38,198,"Jorge Alfaro","12180"
"595777","batter",1.35499614766274e-38,420,"Jurickson Profar","10815"
"595879","batter",-6.0474995079919e-38,486,"Javier Baez","12979"
"595909","batter",-5.63979369879157e-38,248,"Jake Cave","14477"
"595943","batter",5.73560636138669e-39,90,"Phillip Evans","12950"
"595956","batter",-1.72071185215042e-38,120,"Cam Gallagher","12981"
"595978","batter",-4.12641962673181e-38,168,"Austin Hedges","12976"
"595981","batter",-8.6080154632764e-38,108,"Scott Heineman","14453"
"596019","batter",1.48420015941668e-38,548,"Francisco Lindor","12916"
"596056","batter",-1.55399709355477e-37,8,"John Nogowski",NA
"596059","batter",-3.91985032103995e-38,296,"Rougned Odor","12282"
"596103","batter",9.19825608665392e-38,208,"Austin Slater","16153"
"596105","batter",-5.90802631778321e-38,142,"Dwight Smith","13473"
"596115","batter",6.40219366888278e-39,518,"Trevor Story","12564"
"596117","batter",-9.17677147823796e-38,20,"Garrett Stubbs","18067"
"596129","batter",1.8131770183859e-38,280,"Dan Vogelbach","14130"
"596142","batter",-1.42841738297752e-38,368,"Gary Sanchez","11442"
"596144","batter",-1.71554684465289e-37,2,"Cheslor Cuthbert","10473"
"596146","batter",1.81986100181049e-38,408,"Max Kepler","12144"
"596451","batter",-9.48859425742185e-38,232,"Roman Quinn","13546"
"596748","batter",-1.21619187129945e-38,486,"Maikel Franco","12179"
"596847","batter",-4.33211464967809e-38,292,"Ji-Man Choi","5452"
"598265","batter",-1.69250296749731e-38,432,"Jackie Bradley","12984"
"599096","batter",-2.05240358305981e-37,12,"Dilson Herrera","14335"
"600303","batter",3.14474830102667e-38,482,"Tommy La Stella","12371"
"600474","batter",1.24092972315693e-38,358,"Pedro Severino","14523"
"600524","batter",-5.2951811393609e-39,432,"Renato Nunez","14503"
"600869","batter",4.05845543783555e-38,412,"Jeimer Candelario","13621"
"602104","batter",7.18734154521827e-38,54,"Ramon Urias",NA
"605113","batter",-2.47057885750401e-38,434,"Nick Ahmed","12147"
"605119","batter",-3.02445047992231e-39,476,"Brian Anderson","18289"
"605131","batter",-5.06843847963087e-38,214,"Austin Barnes","12158"
"605137","batter",-2.30588006791095e-38,438,"Josh Bell","13145"
"605141","batter",4.37354512571264e-38,508,"Mookie Betts","13611"
"605170","batter",-3.38560911397408e-38,274,"Victor Caratini","14968"
"605196","batter",-1.16687600911803e-37,40,"Kevin Cron","16211"
"605204","batter",4.04659712668587e-38,456,"J. D. Davis","16219"
"605233","batter",1.99641279593075e-38,78,"Derek Fisher","16192"
"605353","batter",2.03606130487465e-38,144,"Vimael Machin",NA
"605412","batter",-7.6428287608728e-40,294,"Joe Panik","11936"
"605421","batter",-4.96833365924577e-39,186,"Michael Perez","12977"
"605480","batter",-1.67434449940068e-37,94,"Mallex Smith","13608"
"605490","batter",-1.08252722170993e-37,130,"Bubba Starling","13356"
"605548","batter",-3.7357493895815e-38,100,"Bradley Zimmer","16221"
"605612","batter",1.02367748954517e-38,108,"Harold Castro","14691"
"606115","batter",9.56187647888542e-39,392,"Orlando Arcia","13185"
"606132","batter",-3.91321257922692e-38,412,"Raimel Tapia","14350"
"606157","batter",-1.41522627693388e-38,124,"Aristides Aquino","15482"
"606192","batter",6.70773845670912e-38,430,"Teoscar Hernandez","13066"
"606213","batter",-6.24621655566568e-38,2,"Yermin Mercedes",NA
"606299","batter",-3.52012818497937e-38,242,"Jose Peraza","13593"
"606466","batter",-2.19868020603164e-38,392,"Ketel Marte","13613"
"606988","batter",-5.56009520036648e-38,110,"Grayson Greiner","17062"
"606992","batter",-2.50945422817419e-38,38,"Eric Haase","14111"
"607043","batter",2.83950507067443e-38,452,"Brandon Nimmo","12927"
"607054","batter",2.60115603194979e-38,124,"Jace Peterson","12325"
"607208","batter",4.74897679894142e-38,518,"Trea Turner","16252"
"607333","batter",-1.60203165722624e-37,48,"Beau Taylor","12384"
"607345","batter",3.13096355821206e-38,76,"Kevan Smith","12284"
"607461","batter",-4.51384393989767e-38,108,"Matt Beaty","17710"
"607680","batter",8.4555267722005e-39,444,"Kevin Pillar","12434"
"607732","batter",-3.76886358743838e-38,288,"Jacob Stallings","13723"
"608070","batter",5.23287752401905e-38,526,"Jose Ramirez","13510"
"608324","batter",7.86693376292369e-39,378,"Alex Bregman","17678"
"608336","batter",-1.11311982757536e-38,450,"Joey Gallo","14128"
"608348","batter",-4.65526795379256e-38,258,"Carson Kelly","13620"
"608369","batter",1.07861831324389e-37,480,"Corey Seager","13624"
"608385","batter",7.47582927616898e-38,382,"Jesse Winker","13590"
"608475","batter",-9.08506464427502e-38,22,"Dawel Lugo","14713"
"608577","batter",-2.93768363209911e-38,312,"Nomar Mazara","14553"
"608597","batter",1.11781155983878e-39,172,"Ronald Guzman","14388"
"608671","batter",-1.32963999008948e-37,34,"Travis Jankowski","13768"
"608686","batter",-1.12550049006649e-37,94,"Jack Mayfield","15402"
"608700","batter",-1.89171601500297e-39,178,"Kevin Plawecki","13807"
"608701","batter",-6.80806656179618e-38,68,"Rob Refsnyder","13770"
"608703","batter",-2.64157014601872e-37,22,"Matt Reynolds","13788"
"609275","batter",-7.11763247323298e-38,468,"Adalberto Mondesi","13769"
"609280","batter",-5.76058526697238e-38,130,"Miguel Andujar","15878"
"613534","batter",-3.23072071838699e-37,2,"Austin Adams","13801"
"614173","batter",1.01574773202703e-37,84,"Franchy Cordero","14567"
"614177","batter",1.41647488705805e-38,500,"Franmil Reyes","14566"
"620439","batter",-1.87863540705178e-37,56,"Franklin Barreto","15519"
"620443","batter",-1.06900464779813e-38,158,"Luis Torrens","15905"
"620453","batter",1.27920364753285e-38,8,"Deivy Grullon","15988"
"621002","batter",1.237478858374e-38,48,"Daniel Robertson","14145"
"621005","batter",-5.78473484796762e-38,302,"Tim Lopes","14137"
"621011","batter",-1.18521873389628e-37,34,"Max Schrock",NA
"621020","batter",1.85176355369404e-38,546,"Dansby Swanson","18314"
"621028","batter",-3.3065887797434e-38,346,"Kevin Newman","17696"
"621035","batter",4.53515395744551e-38,442,"Chris Taylor","13757"
"621043","batter",-2.46155116914767e-39,456,"Carlos Correa","14162"
"621219","batter",-3.23072071838525e-37,2,"Alec Mills","13834"
"621311","batter",-9.38502616322187e-38,198,"David Dahl","13744"
"621433","batter",-1.94313100132751e-38,120,"Brett Phillips","14735"
"621438","batter",-1.64473619150234e-40,92,"Tyrone Taylor","13675"
"621439","batter",-2.87845528649021e-39,278,"Byron Buxton","14161"
"621446","batter",-3.89810575265701e-38,226,"Lewis Brinson","14352"
"621453","batter",-9.15502823186427e-38,72,"Steven Duggar","17719"
"621458","batter",9.12144324758175e-38,174,"Edwin Rios","18316"
"621466","batter",1.49173064246619e-38,224,"DJ Stewart","17766"
"621493","batter",-1.62984116772837e-38,204,"Taylor Ward","17548"
"621500","batter",1.24147128982785e-38,66,"Wyatt Mathisen",NA
"621512","batter",1.87425282596885e-38,52,"Tomas Nido","13755"
"621514","batter",-4.61657316809747e-38,200,"Christin Stewart","17714"
"621529","batter",-1.25478074022399e-37,40,"Joe Hudson","14412"
"621532","batter",-3.28998665401858e-38,122,"Anthony Bemboom","13854"
"621550","batter",-3.16005923620516e-37,4,"Patrick Wisdom","13602"
"621563","batter",-2.60060667746005e-38,372,"Joey Wendle","13853"
"621566","batter",2.04240867511083e-38,510,"Matt Olson","14344"
"621573","batter",5.96417565609633e-38,16,"Austin Dean","18288"
"622100","batter",-4.287001890425e-38,44,"Taylor Jones",NA
"622168","batter",-3.27635837818673e-38,90,"Yairo Munoz","16313"
"622268","batter",-9.84123107893103e-38,28,"Donovan Walton","19314"
"622534","batter",-2.0970687724614e-38,332,"Manuel Margot","14712"
"622666","batter",-8.06032327682719e-38,254,"Johan Camargo","14950"
"622682","batter",-2.95065423605923e-41,426,"Victor Reyes","15487"
"622761","batter",-5.94194167123968e-38,56,"Jorge Mateo",NA
"623168","batter",-5.38545142493325e-38,100,"Tyler Heineman","13897"
"623205","batter",-8.7879212490342e-38,154,"Andrew Velazquez","14196"
"623323","batter",-1.20305322866903e-37,68,"Braden Bishop","17806"
"623520","batter",-2.45036138854036e-39,298,"David Bote","14593"
"623912","batter",-1.06371990491002e-37,22,"Harold Ramirez","14387"
"623993","batter",3.90099885636924e-38,324,"Anthony Santander","14551"
"624407","batter",-1.23241849583583e-37,114,"Tzu-Wei Lin","14678"
"624413","batter",1.50549649558775e-38,470,"Pete Alonso","19251"
"624414","batter",-2.60248174264742e-38,108,"Christian Arroyo","16434"
"624415","batter",-1.04665564217815e-38,546,"Cavan Biggio","19252"
"624424","batter",5.12842524043459e-38,466,"Michael Conforto","16376"
"624428","batter",-1.47731314982397e-38,460,"Adam Frazier","15223"
"624431","batter",6.76939113217566e-39,166,"Jose Trevino","16725"
"624512","batter",-1.92106206229874e-37,90,"Reese McGuire","15674"
"624585","batter",3.76877706936903e-38,348,"Jorge Soler","14221"
"625510","batter",-2.00008466459891e-37,32,"Erick Mejia","15817"
"628338","batter",2.4392342663517e-38,72,"Guillermo Heredia","18721"
"628450","batter",-9.41740363820557e-38,56,"Yadiel Hernández",NA
"630105","batter",7.52979494988691e-38,410,"Jake Cronenworth",NA
"640447","batter",-7.28167782248649e-38,178,"Phil Ervin","14738"
"640449","batter",4.1552401498097e-38,322,"Clint Frazier","15983"
"640457","batter",-3.56339398414084e-38,304,"Austin Meadows","15672"
"640458","batter",-1.29339555419885e-37,188,"Oscar Mercado","16375"
"640459","batter",3.16825079100765e-38,10,"Brian Navarreto",NA
"640461","batter",3.19862584365128e-39,140,"Chad Pinder","15191"
"641313","batter",3.08673744264116e-38,470,"Tim Anderson","15172"
"641355","batter",4.29950581208501e-38,496,"Cody Bellinger","15998"
"641432","batter",-7.94313161184199e-38,220,"Willie Calhoun","17838"
"641470","batter",-6.87537794076909e-38,38,"Zack Collins","19181"
"641477","batter",-1.54777495359229e-37,16,"Ryan Cordell","15181"
"641487","batter",-5.20808798213007e-39,464,"J. P. Crawford","15491"
"641505","batter",3.2237045375417e-38,68,"Jonathan Davis","15104"
"641513","batter",-4.05342423719139e-38,66,"Travis Demeritte","15958"
"641525","batter",-8.32576648362816e-38,28,"Brandon Dixon","15214"
"641531","batter",5.81800276846896e-39,372,"Hunter Dozier","15117"
"641553","batter",-3.51660436949217e-38,210,"Adam Engel","15082"
"641584","batter",-1.22562456332036e-37,58,"Jake Fraley","19260"
"641598","batter",-8.67368827557732e-38,166,"Mitch Garver","15161"
"641645","batter",-9.50016490196026e-40,136,"Luis Guillorme","16451"
"641658","batter",-3.95999464306156e-38,368,"Garrett Hampson","19262"
"641680","batter",-1.56611600572994e-38,82,"Jonah Heim",NA
"641684","batter",-1.42280219137403e-37,20,"Michael Hermosillo","16285"
"641786","batter",1.90367400014999e-38,484,"Kyle Lewis","19508"
"641796","batter",1.02414664412215e-38,164,"Tim Locastro","15124"
"641829","batter",-1.60007877616207e-37,22,"Jason Martin","16429"
"641856","batter",1.23066089738385e-37,6,"Billy McKinney","15654"
"641857","batter",-2.14693712558758e-38,386,"Ryan McMahon","15112"
"641924","batter",-3.93322461825821e-38,116,"Jacob Nottingham","16448"
