"id","cat","1","pa","name","fg_key","Season","min","mean","prop","raw_rapm","rapm"
424144,"pitcher",4.67611962044201e-38,142,"Oliver Perez",1514,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.582272951532307,110.043368559082,105.847981854224
425794,"pitcher",-4.69541044492211e-39,558,"Adam Wainwright",2233,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.743065308125983,102.665244309607,101.980450584149
425844,"pitcher",1.92101176862008e-38,580,"Zack Greinke",1943,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.747608645634386,106.092947150618,104.555139967196
430935,"pitcher",-5.8618687278668e-38,28,"Cole Hamels",4972,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.391509334909703,94.9334356590778,98.0163927646083
433589,"pitcher",-1.02356951210393e-39,198,"Yusmeiro Petit",4020,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.621332184651316,103.191732556515,101.983126162162
434378,"pitcher",6.17107663294068e-38,42,"Justin Verlander",8700,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.439148480202191,112.186918105792,105.351866564507
434671,"pitcher",-3.07858838123366e-38,488,"Anibal Sanchez",3284,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.727316183633467,98.9242523016372,99.2175912894743
435522,"pitcher",8.33403541345079e-38,6,"Neil Walker",7539,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.210518458868167,115.288284415826,103.218466073958
444468,"pitcher",-3.58452529475942e-38,190,"Hector Rondon",2391,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.616486442675976,98.1988128190403,98.8895925222166
445213,"pitcher",1.29675194079859e-38,212,"Brandon Kintzler",9939,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.629359189503353,105.197849927241,103.271314617369
445276,"pitcher",6.38837398938989e-38,214,"Kenley Jansen",3096,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.630462414406901,112.498490710237,107.879828629618
445926,"pitcher",-6.93242026898457e-38,154,"Jesse Chavez",5448,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.591804601824686,93.3984214402699,96.0931554290445
446321,"pitcher",1.89609002027131e-38,160,"Ross Detwiler",2859,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.596295311072868,106.057213011155,103.611887716721
446372,"pitcher",8.09833474344601e-38,6,"Corey Kluber",2429,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.210518458868167,114.950324153341,103.147319200341
448179,"pitcher",-1.91874323402668e-38,312,"Rich Hill",4806,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.674760313053347,100.587300482128,100.396287057177
448281,"pitcher",-1.19535746764628e-37,68,"Sean Doolittle",1581,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.495760884500155,86.1988209406418,93.1579152623876
448855,"pitcher",3.89118567814408e-39,202,"Junior Guerra",5702,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.623682114763999,103.896436516038,102.430137766366
450172,"pitcher",-5.80738577314932e-38,52,"Edinson Volquez",3990,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.46424185418518,95.0115562417511,97.684155620172
450203,"pitcher",1.82992557957086e-38,342,"Charlie Morton",4676,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.685547019702961,105.962342887341,104.087466396864
451584,"pitcher",-1.52996981163225e-37,48,"Wade Davis",7441,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.454837429231686,81.4009696828611,91.5404648643503
452657,"pitcher",-4.21862853189438e-38,530,"Jon Lester",4930,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.737016559849183,97.2896015874372,98.0023914861522
453172,"pitcher",-4.19316318824118e-39,214,"Jared Hughes",9325,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.630462414406901,102.737259215078,101.725739053596
453178,"pitcher",-4.6245291175937e-38,136,"Ian Kennedy",6986,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.577200541287995,96.7075995571375,98.099624682243
453192,"pitcher",8.92981060587799e-38,118,"Andrew Miller",6785,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.560520087733239,116.142538841199,109.048217287506
453265,"pitcher",2.52530795991913e-38,146,"Tony Watson",3132,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.58553684443997,106.959419441197,104.074996498733
453268,"pitcher",1.20426624160153e-38,208,"Daniel Bard",7115,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.62712116776086,105.065238971251,103.176518578639
453281,"pitcher",6.59755680210986e-40,206,"Wade LeBlanc",5221,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.62598596483335,103.433096751122,102.149070382118
453284,"pitcher",5.96406677948947e-38,134,"Blake Parker",5224,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.575459878503145,111.890096274916,106.842273357754
453286,"pitcher",4.34628267823441e-39,590,"Max Scherzer",3137,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.749617114866908,103.961690764828,102.969751201126
453343,"pitcher",4.09166216242862e-38,196,"Mark Melancon",4264,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.620139356243727,109.205342108341,105.70859492907
453562,"pitcher",-3.68339475970667e-38,380,"Jake Arrieta",4153,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.697926099463816,98.0570484773239,98.6439634223314
453943,"pitcher",-3.29472533611765e-37,6,"Todd Frazier",785,"2020",-7.2070464454985e-37,6.97421253823412e-37,0.210518458868167,56.0969584441637,90.7575993520403
