"id","cat","X1","pa","name","fg_key"
457763,"batter",-5.55497355913787e-05,444,"Buster Posey",9166
457803,"batter",0.00675983994544903,334,"Jay Bruce",9892
457915,"batter",-0.0630413633610653,5,"Javy Guerra",7407
457918,"batter",-0.0709157909605926,4,"J. A. Happ",7410
458015,"batter",0.00896203289268813,607,"Joey Votto",4314
458681,"batter",-0.0900476153869691,2,"Lance Lynn",2520
458708,"batter",-0.058833966243788,7,"Josh Tomlin",9388
458731,"batter",-0.0080842168062051,590,"Brett Gardner",9927
459964,"batter",0.0105090521137318,249,"Matthew Joyce",3353
460026,"batter",-0.025493036343081,73,"Nick Hundley",3376
460075,"batter",0.0068174974680597,512,"Ryan Braun",3410
460077,"batter",-0.0291181016940243,49,"Drew Butera",3411
460086,"batter",0.00433707204728608,630,"Alex Gordon",5209
460576,"batter",-0.0104049666693427,99,"Carlos Gomez",4881
461314,"batter",-0.025791522630096,62,"Matt Kemp",5631
461829,"batter",-0.064656284251982,28,"Gio Gonzalez",7448
462101,"batter",-0.00286534506364788,650,"Elvis Andrus",8709
465041,"batter",-0.00873648415880609,163,"Francisco Cervelli",5275
466320,"batter",-0.00472904595981633,394,"Melky Cabrera",4022
467055,"batter",0.00768675257868083,294,"Pablo Sandoval",5409
467092,"batter",0.00303917416530106,519,"Wilson Ramos",1433
467100,"batter",-0.0562910861238472,5,"Ivan Nova",1994
467793,"batter",0.0137068738587865,676,"Carlos Santana",2396
467827,"batter",-0.00550456733409551,306,"Gerardo Parra",8553
468504,"batter",-0.0441435238588325,25,"Jhoulys Chacin",2608
471865,"batter",-0.0127841086008829,165,"Carlos Gonzalez",7287
474463,"batter",-0.00967949698945387,8,"Brett Anderson",8223
474568,"batter",-0.000270771565920044,270,"Jordy Mercer",6547
474832,"batter",0.0093408239254306,613,"Brandon Belt",10264
475174,"batter",-0.00167887722723329,333,"Yonder Alonso",2530
475247,"batter",-0.0120608713475085,22,"Ryan Flaherty",7888
475253,"batter",0.0163088530193431,498,"Justin Smoak",9054
475582,"batter",0.00379713719486492,250,"Ryan Zimmerman",4220
476451,"batter",-0.0387180393277452,13,"Jeremy Hellickson",4371
476704,"batter",-0.0440159073068095,8,"Jed Lowrie",4418
477132,"batter",-0.052939432014321,66,"Clayton Kershaw",2036
488671,"batter",0.0129993710145112,195,"Alex Avila",7476
488721,"batter",-0.0410536242935975,46,"Peter Bourjos",2578
488726,"batter",0.0155422260123994,711,"Michael Brantley",4106
488768,"batter",-0.067314644210523,3,"Andrew Cashner",8782
488771,"batter",0.0121035044231419,276,"Jason Castro",8722
489119,"batter",-0.0463045045121305,6,"Wade Miley",8779
489149,"batter",-0.0066528906186069,38,"Logan Morrison",9205
489334,"batter",-0.0865560769463582,1,"Craig Stammen",7274
491676,"batter",-0.015431960591387,57,"Gorkys Hernandez",4146
491696,"batter",-0.0136253634416877,67,"Jesus Sucre",5942
492802,"batter",-0.0228501027873055,18,"Juan Graterol",5398
493329,"batter",0.00140448445203504,687,"Yuli Gurriel",19198
493596,"batter",-0.0106696522404239,240,"Gordon Beckham",9015
500135,"batter",-0.00893261409369089,294,"Ronny Rodriguez",11875
500208,"batter",-0.0141167149017141,77,"Yangervis Solarte",5352
500743,"batter",-0.00360557753762417,524,"Miguel Rojas",7802
500779,"batter",-0.0597869494857854,63,"Jose Quintana",11423
500871,"batter",0.00169937854745927,696,"Eduardo Escobar",6153
500874,"batter",0.0101324459097754,386,"Jose Martinez",7996
501303,"batter",0.00183587470358494,235,"Ehire Adrianza",8418
501381,"batter",-0.0618530710247803,4,"Michael Pineda",5372
501571,"batter",-0.0198942390183925,283,"Juan Lagares",5384
501659,"batter",0.00634883967512347,38,"Abraham Almonte",5486
501896,"batter",0.0168045622545961,194,"David Freese",9549
